category,month,net_inflow_cr
Small Cap,2023-01-01,2529
Hybrid,2023-01-01,2790
Large Cap,2023-02-01,3693
Flexi Cap,2023-02-01,2816
Mid Cap,2023-02-01,266
Small Cap,2023-02-01,324
Hybrid,2023-02-01,3735
Large Cap,2023-03-01,3994
Flexi Cap,2023-03-01,3664
Mid Cap,2023-03-01,2588
Small Cap,2023-03-01,874
Hybrid,2023-03-01,3057
Large Cap,2023-04-01,3364
Flexi Cap,2023-04-01,1329
Mid Cap,2023-04-01,1861
Small Cap,2023-04-01,986
Hybrid,2023-04-01,2623
Large Cap,2023-05-01,2292
Flexi Cap,2023-05-01,2650
Mid Cap,2023-05-01,3113
Small Cap,2023-05-01,2182
Hybrid,2023-05-01,1759
Large Cap,2023-06-01,1172
Flexi Cap,2023-06-01,1597
Mid Cap,2023-06-01,2412
Small Cap,2023-06-01,1118
Hybrid,2023-06-01,1673
Large Cap,2023-07-01,2552
Flexi Cap,2023-07-01,3680
Mid Cap,2023-07-01,2588
Small Cap,2023-07-01,348
Hybrid,2023-07-01,3754
Large Cap,2023-08-01,2537
Flexi Cap,2023-08-01,3617
Mid Cap,2023-08-01,233
Small Cap,2023-08-01,3478
Hybrid,2023-08-01,800
Large Cap,2023-09-01,253
Flexi Cap,2023-09-01,739
Mid Cap,2023-09-01,1037
Small Cap,2023-09-01,1314
Hybrid,2023-09-01,1199
Large Cap,2023-10-01,3240
Flexi Cap,2023-10-01,508
Mid Cap,2023-10-01,2204
Small Cap,2023-10-01,1891
Hybrid,2023-10-01,3191
Large Cap,2023-11-01,444
Flexi Cap,2023-11-01,3645
Mid Cap,2023-11-01,2055
Small Cap,2023-11-01,1714
Hybrid,2023-11-01,3061
Large Cap,2023-12-01,214
Flexi Cap,2023-12-01,2765
Mid Cap,2023-12-01,1073
Small Cap,2023-12-01,924
Hybrid,2023-12-01,2727
Large Cap,2024-01-01,2546
Flexi Cap,2024-01-01,3537
Mid Cap,2024-01-01,1036
Small Cap,2024-01-01,3032
Hybrid,2024-01-01,3289
Large Cap,2024-02-01,1626
Flexi Cap,2024-02-01,318
Mid Cap,2024-02-01,1411
Small Cap,2024-02-01,833
Hybrid,2024-02-01,3768
Large Cap,2024-03-01,2323
Flexi Cap,2024-03-01,3417
Mid Cap,2024-03-01,2676
Small Cap,2024-03-01,3957
Hybrid,2024-03-01,2203
Large Cap,2024-04-01,1772
Flexi Cap,2024-04-01,565
Mid Cap,2024-04-01,3529
Small Cap,2024-04-01,714
Hybrid,2024-04-01,2134
Large Cap,2024-05-01,517
Flexi Cap,2024-05-01,1437
Mid Cap,2024-05-01,2921
Small Cap,2024-05-01,950
Hybrid,2024-05-01,2230
Large Cap,2024-06-01,3373
Flexi Cap,2024-06-01,3097
Mid Cap,2024-06-01,2146
Small Cap,2024-06-01,1397
Hybrid,2024-06-01,3304
Large Cap,2024-07-01,3823
Flexi Cap,2024-07-01,424
Mid Cap,2024-07-01,2152
Small Cap,2024-07-01,1404
Hybrid,2024-07-01,391
Large Cap,2024-08-01,1674
Flexi Cap,2024-08-01,475
Mid Cap,2024-08-01,520
Small Cap,2024-08-01,1644
Hybrid,2024-08-01,2358
Large Cap,2024-09-01,1951
Flexi Cap,2024-09-01,357
Mid Cap,2024-09-01,655
Small Cap,2024-09-01,3677
Hybrid,2024-09-01,2985
Large Cap,2024-10-01,2480
Flexi Cap,2024-10-01,3956
Mid Cap,2024-10-01,2866
Small Cap,2024-10-01,3472
Hybrid,2024-10-01,3808
Large Cap,2024-11-01,898
Flexi Cap,2024-11-01,725
Mid Cap,2024-11-01,380
Small Cap,2024-11-01,3454
Hybrid,2024-11-01,1134
Large Cap,2024-12-01,2950
Flexi Cap,2024-12-01,1916
Mid Cap,2024-12-01,3830
Small Cap,2024-12-01,405
Hybrid,2024-12-01,513
Large Cap,2025-01-01,3998
Flexi Cap,2025-01-01,1424
Mid Cap,2025-01-01,3767
Small Cap,2025-01-01,3445
Hybrid,2025-01-01,387
Large Cap,2025-02-01,1895
Flexi Cap,2025-02-01,3680
Mid Cap,2025-02-01,1711
Small Cap,2025-02-01,1565
Hybrid,2025-02-01,3997
Large Cap,2025-03-01,2308
Flexi Cap,2025-03-01,2693
Mid Cap,2025-03-01,2696
Small Cap,2025-03-01,3871
Hybrid,2025-03-01,2701
Large Cap,2025-04-01,1412
Flexi Cap,2025-04-01,1783
Mid Cap,2025-04-01,1240
Small Cap,2025-04-01,3966
Hybrid,2025-04-01,1789
Large Cap,2025-05-01,263
Flexi Cap,2025-05-01,2478
Mid Cap,2025-05-01,2419
Small Cap,2025-05-01,202
Hybrid,2025-05-01,2107
Large Cap,2025-06-01,1130
Flexi Cap,2025-06-01,2478
Mid Cap,2025-06-01,486
Small Cap,2025-06-01,1741
Hybrid,2025-06-01,3612
Large Cap,2025-07-01,2414
Flexi Cap,2025-07-01,3069
Mid Cap,2025-07-01,1655
Small Cap,2025-07-01,3605
Hybrid,2025-07-01,1298
Large Cap,2025-08-01,2942
Flexi Cap,2025-08-01,2436
Mid Cap,2025-08-01,344
Small Cap,2025-08-01,401
Hybrid,2025-08-01,1540
Large Cap,2025-09-01,2589
Flexi Cap,2025-09-01,3812
Mid Cap,2025-09-01,2914
Small Cap,2025-09-01,2111
Hybrid,2025-09-01,1472
Large Cap,2025-10-01,1518
Flexi Cap,2025-10-01,896
Mid Cap,2025-10-01,847
Small Cap,2025-10-01,1611
Hybrid,2025-10-01,3939
Large Cap,2025-11-01,2227
Flexi Cap,2025-11-01,584
Mid Cap,2025-11-01,3240
Small Cap,2025-11-01,1678
Hybrid,2025-11-01,1107
Large Cap,2025-12-01,1494
Flexi Cap,2025-12-01,414
Mid Cap,2025-12-01,2810
Small Cap,2025-12-01,1451
Hybrid,2025-12-01,3933
