amfi_code,date,nav
FUND01,2024-02-09,46.3045
FUND01,2024-02-12,46.3173
FUND01,2024-02-13,46.0705
FUND01,2024-02-14,46.0712
FUND01,2024-02-15,46.1121
FUND01,2024-02-16,46.5386
FUND01,2024-02-19,46.7724
FUND01,2024-02-20,47.0273
FUND01,2024-02-21,46.8984
FUND01,2024-02-22,47.0739
FUND01,2024-02-23,46.8508
FUND01,2024-02-26,46.9475
FUND01,2024-02-27,47.0679
FUND01,2024-02-28,46.9271
FUND01,2024-02-29,47.3952
FUND01,2024-03-01,47.5498
FUND01,2024-03-04,47.1543
FUND01,2024-03-05,47.3048
FUND01,2024-03-06,47.243
FUND01,2024-03-07,47.2717
FUND01,2024-03-08,47.4033
FUND01,2024-03-11,47.5186
FUND01,2024-03-12,47.093
FUND01,2024-03-13,46.8657
FUND01,2024-03-14,47.0636
FUND01,2024-03-15,47.379
FUND01,2024-03-18,47.8302
FUND01,2024-03-19,48.2632
FUND01,2024-03-20,47.8272
FUND01,2024-03-21,48.0285
FUND01,2024-03-22,47.626
FUND01,2024-03-25,48.0149
FUND01,2024-03-26,48.1008
FUND01,2024-03-27,47.8724
FUND01,2024-03-28,48.3523
FUND01,2024-03-29,48.5273
FUND01,2024-04-01,48.1263
FUND01,2024-04-02,48.2215
FUND01,2024-04-03,48.0852
FUND01,2024-04-04,48.1392
FUND01,2024-04-05,48.0632
FUND01,2024-04-08,48.4016
FUND01,2024-04-09,48.1078
FUND01,2024-04-10,48.2083
FUND01,2024-04-11,48.6473
FUND01,2024-04-12,48.488
FUND01,2024-04-15,48.565
FUND01,2024-04-16,48.6402
FUND01,2024-04-17,48.5123
FUND01,2024-04-18,48.6888
FUND01,2024-04-19,48.7402
FUND01,2024-04-22,48.5539
FUND01,2024-04-23,48.9842
FUND01,2024-04-24,49.1954
FUND01,2024-04-25,49.1865
FUND01,2024-04-26,49.0693
FUND01,2024-04-29,48.9184
FUND01,2024-04-30,49.2301
FUND01,2024-05-01,49.2259
FUND01,2024-05-02,49.3615
FUND01,2024-05-03,49.3486
FUND01,2024-05-06,49.5208
FUND01,2024-05-07,49.5237
FUND01,2024-05-08,49.7308
FUND01,2024-05-09,49.7181
FUND01,2024-05-10,49.9413
FUND01,2024-05-13,50.1288
FUND01,2024-05-14,50.1315
FUND01,2024-05-15,49.9596
FUND01,2024-05-16,49.7695
FUND01,2024-05-17,49.6267
FUND01,2024-05-20,49.4275
FUND01,2024-05-21,49.6579
FUND01,2024-05-22,49.6769
FUND01,2024-05-23,50.0724
FUND01,2024-05-24,50.6375
FUND01,2024-05-27,50.6737
FUND01,2024-05-28,50.3365
FUND01,2024-05-29,50.2768
FUND01,2024-05-30,50.2893
FUND01,2024-05-31,49.9687
FUND01,2024-06-03,49.9401
FUND01,2024-06-04,50.0373
FUND01,2024-06-05,49.9596
FUND01,2024-06-06,49.8097
FUND01,2024-06-07,49.6625
FUND01,2024-06-10,50.1084
FUND01,2024-06-11,50.101
FUND01,2024-06-12,49.9362
FUND01,2024-06-13,49.879
FUND01,2024-06-14,50.1322
FUND01,2024-06-17,50.0014
FUND01,2024-06-18,50.1444
FUND01,2024-06-19,50.3457
FUND01,2024-06-20,50.5528
FUND01,2024-06-21,50.9149
FUND01,2024-06-24,50.8141
FUND01,2024-06-25,51.1145
FUND01,2024-06-26,50.9553
FUND01,2024-06-27,50.8913
FUND01,2024-06-28,51.2072
FUND01,2024-07-01,51.4354
FUND01,2024-07-02,51.4669
FUND01,2024-07-03,51.2104
FUND01,2024-07-04,51.376
FUND01,2024-07-05,51.2551
FUND01,2024-07-08,51.064
FUND01,2024-07-09,50.9396
FUND01,2024-07-10,51.0291
FUND01,2024-07-11,50.5524
FUND01,2024-07-12,50.6684
FUND01,2024-07-15,50.7401
FUND01,2024-07-16,50.6316
FUND01,2024-07-17,50.9082
FUND01,2024-07-18,51.0848
FUND01,2024-07-19,50.9703
FUND01,2024-07-22,50.8409
FUND01,2024-07-23,51.0372
FUND01,2024-07-24,50.7052
FUND01,2024-07-25,50.6566
FUND01,2024-07-26,50.5372
FUND01,2024-07-29,50.5842
FUND01,2024-07-30,50.6647
FUND01,2024-07-31,50.7039
FUND01,2024-08-01,51.0042
FUND01,2024-08-02,51.0894
FUND01,2024-08-05,51.0447
FUND01,2024-08-06,50.7857
FUND01,2024-08-07,50.9881
FUND01,2024-08-08,51.145
FUND01,2024-08-09,51.5236
FUND01,2024-08-12,51.374
FUND01,2024-08-13,51.4113
FUND01,2024-08-14,51.4281
FUND01,2024-08-15,51.4379
FUND01,2024-08-16,51.4714
FUND01,2024-08-19,51.0887
FUND01,2024-08-20,51.317
FUND01,2024-08-21,51.505
FUND01,2024-08-22,51.8089
FUND01,2024-08-23,52.3864
FUND01,2024-08-26,52.3396
FUND01,2024-08-27,52.3622
FUND01,2024-08-28,52.3961
FUND01,2024-08-29,52.9047
FUND01,2024-08-30,52.5072
FUND01,2024-09-02,52.6583
FUND01,2024-09-03,52.327
FUND01,2024-09-04,51.7252
FUND01,2024-09-05,51.2664
FUND01,2024-09-06,50.9652
FUND01,2024-09-09,51.2512
FUND01,2024-09-10,51.0734
FUND01,2024-09-11,51.0497
FUND01,2024-09-12,50.802
FUND01,2024-09-13,50.978
FUND01,2024-09-16,50.7454
FUND01,2024-09-17,51.0894
FUND01,2024-09-18,50.8823
FUND01,2024-09-19,50.7305
FUND01,2024-09-20,50.7902
FUND01,2024-09-23,50.8266
FUND01,2024-09-24,51.1966
FUND01,2024-09-25,51.2563
FUND01,2024-09-26,50.997
FUND01,2024-09-27,50.8937
FUND01,2024-09-30,50.7877
FUND01,2024-10-01,50.9908
FUND01,2024-10-02,51.1133
FUND01,2024-10-03,51.1154
FUND01,2024-10-04,51.3545
FUND01,2024-10-07,51.2582
FUND01,2024-10-08,51.2563
FUND01,2024-10-09,51.3306
FUND01,2024-10-10,51.7292
FUND01,2024-10-11,51.7364
FUND01,2024-10-14,51.6825
FUND01,2024-10-15,51.4602
FUND01,2024-10-16,51.6566
FUND01,2024-10-17,51.5454
FUND01,2024-10-18,51.6595
FUND01,2024-10-21,51.2301
FUND01,2024-10-22,51.5114
FUND01,2024-10-23,51.2208
FUND01,2024-10-24,51.065
FUND01,2024-10-25,51.3491
FUND01,2024-10-28,51.0588
FUND01,2024-10-29,51.0705
FUND01,2024-10-30,51.119
FUND01,2024-10-31,50.9105
FUND01,2024-11-01,51.2616
FUND01,2024-11-04,51.6526
FUND01,2024-11-05,51.2063
FUND01,2024-11-06,50.8893
FUND01,2024-11-07,51.1127
FUND01,2024-11-08,50.8313
FUND01,2024-11-11,50.7692
FUND01,2024-11-12,50.8306
FUND01,2024-11-13,51.026
FUND01,2024-11-14,51.0033
FUND01,2024-11-15,51.0568
FUND01,2024-11-18,50.9016
FUND01,2024-11-19,51.2406
FUND01,2024-11-20,51.1525
FUND01,2024-11-21,51.2647
FUND01,2024-11-22,51.1726
FUND01,2024-11-25,51.2289
FUND01,2024-11-26,51.2193
FUND01,2024-11-27,51.2112
FUND01,2024-11-28,50.9986
FUND01,2024-11-29,51.2197
FUND01,2024-12-02,51.59
FUND01,2024-12-03,51.6798
FUND01,2024-12-04,51.8884
FUND01,2024-12-05,52.1234
FUND01,2024-12-06,52.3815
FUND01,2024-12-09,52.4875
FUND01,2024-12-10,52.5713
FUND01,2024-12-11,52.8159
FUND01,2024-12-12,52.8647
FUND01,2024-12-13,52.6552
FUND01,2024-12-16,52.6927
FUND01,2024-12-17,52.258
FUND01,2024-12-18,52.288
FUND01,2024-12-19,52.4208
FUND01,2024-12-20,52.756
FUND01,2024-12-23,52.8252
FUND01,2024-12-24,53.0868
FUND01,2024-12-25,53.1186
FUND01,2024-12-26,52.8957
FUND01,2024-12-27,52.5776
FUND01,2024-12-30,52.3702
FUND01,2024-12-31,52.0663
FUND01,2025-01-01,52.2523
FUND01,2025-01-02,52.2329
FUND01,2025-01-03,52.404
FUND01,2025-01-06,52.4536
FUND01,2025-01-07,52.7418
FUND01,2025-01-08,53.0357
FUND01,2025-01-09,52.9072
FUND01,2025-01-10,52.871
FUND01,2025-01-13,52.7707
FUND01,2025-01-14,52.4014
FUND01,2025-01-15,52.5988
FUND01,2025-01-16,52.9236
FUND01,2025-01-17,52.9538
FUND01,2025-01-20,52.8632
FUND01,2025-01-21,53.1654
FUND01,2025-01-22,52.613
FUND01,2025-01-23,52.6884
FUND01,2025-01-24,52.7555
FUND01,2025-01-27,52.646
FUND01,2025-01-28,53.0211
FUND01,2025-01-29,53.2943
FUND01,2025-01-30,53.2611
FUND01,2025-01-31,53.2715
FUND01,2025-02-03,53.2067
FUND01,2025-02-04,53.111
FUND01,2025-02-05,52.8172
FUND01,2025-02-06,53.1907
FUND01,2025-02-07,53.479
FUND01,2025-02-10,53.7113
FUND01,2025-02-11,53.4681
FUND01,2025-02-12,54.0218
FUND01,2025-02-13,54.5557
FUND01,2025-02-14,54.6366
FUND01,2025-02-17,54.4379
FUND01,2025-02-18,54.2496
FUND01,2025-02-19,54.3886
FUND01,2025-02-20,54.1886
FUND01,2025-02-21,54.2125
FUND01,2025-02-24,54.5218
FUND01,2025-02-25,54.1695
FUND01,2025-02-26,54.7114
FUND01,2025-02-27,55.1461
FUND01,2025-02-28,54.8595
FUND01,2025-03-03,54.529
FUND01,2025-03-04,54.4893
FUND01,2025-03-05,54.2587
FUND01,2025-03-06,54.2243
FUND01,2025-03-07,53.6009
FUND01,2025-03-10,53.5756
FUND01,2025-03-11,54.0606
FUND01,2025-03-12,53.8102
FUND01,2025-03-13,53.7737
FUND01,2025-03-14,53.4306
FUND01,2025-03-17,53.6226
FUND01,2025-03-18,53.5982
FUND01,2025-03-19,54.1181
FUND01,2025-03-20,54.2031
FUND01,2025-03-21,54.1411
FUND01,2025-03-24,54.3134
FUND01,2025-03-25,54.2172
FUND01,2025-03-26,53.9094
FUND01,2025-03-27,54.0181
FUND01,2025-03-28,54.0064
FUND01,2025-03-31,54.081
FUND01,2025-04-01,54.2087
FUND01,2025-04-02,54.1116
FUND01,2025-04-03,54.2511
FUND01,2025-04-04,54.7257
FUND01,2025-04-07,54.4744
FUND01,2025-04-08,54.9509
FUND01,2025-04-09,54.9214
FUND01,2025-04-10,54.757
FUND01,2025-04-11,55.413
FUND01,2025-04-14,55.4866
FUND01,2025-04-15,55.8764
FUND01,2025-04-16,56.1242
FUND01,2025-04-17,55.7158
FUND01,2025-04-18,55.7809
FUND01,2025-04-21,55.6771
FUND01,2025-04-22,55.3604
FUND01,2025-04-23,54.934
FUND01,2025-04-24,54.9934
FUND01,2025-04-25,55.1786
FUND01,2025-04-28,55.3129
FUND01,2025-04-29,55.2668
FUND01,2025-04-30,55.0932
FUND01,2025-05-01,54.8715
FUND01,2025-05-02,54.7617
FUND01,2025-05-05,54.5295
FUND01,2025-05-06,54.5103
FUND01,2025-05-07,54.5373
FUND01,2025-05-08,54.341
FUND01,2025-05-09,54.3146
FUND01,2025-05-12,54.1537
FUND01,2025-05-13,54.1852
FUND01,2025-05-14,54.3466
FUND01,2025-05-15,54.4247
FUND01,2025-05-16,54.5779
FUND01,2025-05-19,54.1881
FUND01,2025-05-20,54.1245
FUND01,2025-05-21,54.2272
FUND01,2025-05-22,54.4229
FUND01,2025-05-23,54.0479
FUND01,2025-05-26,54.1208
FUND01,2025-05-27,54.4594
FUND01,2025-05-28,54.4466
FUND01,2025-05-29,54.4551
FUND01,2025-05-30,54.6029
FUND01,2025-06-02,54.699
FUND01,2025-06-03,54.9049
FUND01,2025-06-04,54.9566
FUND01,2025-06-05,55.0289
FUND01,2025-06-06,54.8602
FUND01,2025-06-09,54.8494
FUND01,2025-06-10,55.2046
FUND01,2025-06-11,55.185
FUND01,2025-06-12,55.1745
FUND01,2025-06-13,55.0806
FUND01,2025-06-16,55.317
FUND01,2025-06-17,55.1287
FUND01,2025-06-18,55.3971
FUND01,2025-06-19,55.1872
FUND01,2025-06-20,54.9467
FUND01,2025-06-23,55.0328
FUND01,2025-06-24,55.0995
FUND01,2025-06-25,55.2095
FUND01,2025-06-26,55.5177
FUND01,2025-06-27,55.4438
FUND01,2025-06-30,55.5923
FUND01,2025-07-01,55.3886
FUND01,2025-07-02,55.7489
FUND01,2025-07-03,55.9477
FUND01,2025-07-04,56.1221
FUND01,2025-07-07,56.2053
FUND01,2025-07-08,56.0321
FUND01,2025-07-09,55.9798
FUND01,2025-07-10,56.1452
FUND01,2025-07-11,56.1739
FUND01,2025-07-14,56.2403
FUND01,2025-07-15,55.9157
FUND01,2025-07-16,55.9968
FUND01,2025-07-17,55.8488
FUND01,2025-07-18,55.5988
FUND01,2025-07-21,55.592
FUND01,2025-07-22,55.1416
FUND01,2025-07-23,55.3554
FUND01,2025-07-24,55.6098
FUND01,2025-07-25,55.6293
FUND01,2025-07-28,55.4036
FUND01,2025-07-29,55.1914
FUND01,2025-07-30,55.1855
FUND01,2025-07-31,54.5918
FUND01,2025-08-01,54.6708
FUND01,2025-08-04,54.874
FUND01,2025-08-05,54.8268
FUND01,2025-08-06,54.7327
FUND01,2025-08-07,54.8123
FUND01,2025-08-08,54.9354
FUND01,2025-08-11,55.2502
FUND01,2025-08-12,55.2882
FUND01,2025-08-13,55.1427
FUND01,2025-08-14,55.0566
FUND01,2025-08-15,55.1367
FUND01,2025-08-18,55.5721
FUND01,2025-08-19,55.5221
FUND01,2025-08-20,55.2816
FUND01,2025-08-21,55.0894
FUND01,2025-08-22,54.5812
FUND01,2025-08-25,54.6984
FUND01,2025-08-26,54.3823
FUND01,2025-08-27,54.1005
FUND01,2025-08-28,53.632
FUND01,2025-08-29,53.3832
FUND01,2025-09-01,53.5575
FUND01,2025-09-02,53.2605
FUND01,2025-09-03,52.8557
FUND01,2025-09-04,52.9317
FUND01,2025-09-05,52.8789
FUND01,2025-09-08,53.0179
FUND01,2025-09-09,53.2338
FUND01,2025-09-10,53.2637
FUND01,2025-09-11,52.9717
FUND01,2025-09-12,52.9729
FUND01,2025-09-15,53.129
FUND01,2025-09-16,53.0157
FUND01,2025-09-17,52.6904
FUND01,2025-09-18,52.9945
FUND01,2025-09-19,52.9232
FUND01,2025-09-22,52.8535
FUND01,2025-09-23,52.8893
FUND01,2025-09-24,53.1766
FUND01,2025-09-25,53.2743
FUND01,2025-09-26,53.2231
FUND01,2025-09-29,53.4253
FUND01,2025-09-30,53.9951
FUND01,2025-10-01,54.3789
FUND01,2025-10-02,54.5831
FUND01,2025-10-03,54.3288
FUND01,2025-10-06,55.3171
FUND01,2025-10-07,55.0395
FUND01,2025-10-08,54.9767
FUND01,2025-10-09,54.8294
FUND01,2025-10-10,55.2806
FUND01,2025-10-13,55.4227
FUND01,2025-10-14,55.0853
FUND01,2025-10-15,55.1875
FUND01,2025-10-16,55.3622
FUND01,2025-10-17,55.3129
FUND01,2025-10-20,55.0298
FUND01,2025-10-21,54.8759
FUND01,2025-10-22,54.7965
FUND01,2025-10-23,54.8353
FUND01,2025-10-24,54.7347
FUND01,2025-10-27,54.9562
FUND01,2025-10-28,54.7446
FUND01,2025-10-29,54.3332
FUND01,2025-10-30,54.1776
FUND01,2025-10-31,54.5528
FUND01,2025-11-03,54.439
FUND01,2025-11-04,55.0691
FUND01,2025-11-05,55.2291
FUND01,2025-11-06,54.9609
FUND01,2025-11-07,54.779
FUND01,2025-11-10,54.8745
FUND01,2025-11-11,54.6046
FUND01,2025-11-12,55.2452
FUND01,2025-11-13,55.0219
FUND01,2025-11-14,55.2306
FUND01,2025-11-17,55.6419
FUND01,2025-11-18,55.6469
FUND01,2025-11-19,55.4206
FUND01,2025-11-20,55.383
FUND01,2025-11-21,55.5103
FUND01,2025-11-24,55.7716
FUND02,2023-01-02,76.8783
FUND02,2023-01-03,76.4366
FUND02,2023-01-04,75.4812
FUND02,2023-01-05,75.9386
FUND02,2023-01-06,77.3461
FUND02,2023-01-09,78.7189
FUND02,2023-01-10,78.3566
FUND02,2023-01-11,78.0722
FUND02,2023-01-12,78.6184
FUND02,2023-01-13,79.4376
FUND02,2023-01-16,79.1848
FUND02,2023-01-17,79.1338
FUND02,2023-01-18,80.7915
FUND02,2023-01-19,80.7656
FUND02,2023-01-20,80.4591
FUND02,2023-01-23,80.6014
FUND02,2023-01-24,81.0845
FUND02,2023-01-25,80.3771
FUND02,2023-01-26,80.2472
FUND02,2023-01-27,79.4404
FUND02,2023-01-30,79.2902
FUND02,2023-01-31,80.7107
FUND02,2023-02-01,81.3147
FUND02,2023-02-02,81.2997
FUND02,2023-02-03,80.6566
FUND02,2023-02-06,80.4795
FUND02,2023-02-07,81.3103
FUND02,2023-02-08,80.9447
FUND02,2023-02-09,82.0776
FUND02,2023-02-10,81.0961
FUND02,2023-02-13,80.9339
FUND02,2023-02-14,82.2842
FUND02,2023-02-15,80.8206
FUND02,2023-02-16,81.7571
FUND02,2023-02-17,80.4205
FUND02,2023-02-20,80.4074
FUND02,2023-02-21,80.3335
FUND02,2023-02-22,80.9956
FUND02,2023-02-23,78.7013
FUND02,2023-02-24,77.3666
FUND02,2023-02-27,77.0156
FUND02,2023-02-28,77.093
FUND02,2023-03-01,76.5115
FUND02,2023-03-02,76.4072
FUND02,2023-03-03,75.6251
FUND02,2023-03-06,75.3966
FUND02,2023-03-07,74.86
FUND02,2023-03-08,75.0778
FUND02,2023-03-09,75.529
FUND02,2023-03-10,76.5739
FUND02,2023-03-13,76.163
FUND02,2023-03-14,75.9911
FUND02,2023-03-15,76.0751
FUND02,2023-03-16,75.9196
FUND02,2023-03-17,75.9338
FUND02,2023-03-20,74.8942
FUND02,2023-03-21,75.2
FUND02,2023-03-22,74.6176
FUND02,2023-03-23,74.011
FUND02,2023-03-24,72.98
FUND02,2023-03-27,73.8074
FUND02,2023-03-28,73.7611
FUND02,2023-03-29,74.5895
FUND02,2023-03-30,74.8259
FUND02,2023-03-31,73.7043
FUND02,2023-04-03,73.0193
FUND02,2023-04-04,73.5766
FUND02,2023-04-05,73.1078
FUND02,2023-04-06,72.4239
FUND02,2023-04-07,72.3528
FUND02,2023-04-10,72.2833
