age_group,sip_amount,gender,state,city_tier
56+,16584,Female,Maharashtra,T30
56+,3563,Female,West Bengal,B30
56+,6057,Male,Gujarat,T30
56+,22602,Male,Maharashtra,B30
56+,18381,Female,Tamil Nadu,B30
56+,20720,Female,Karnataka,T30
56+,16219,Female,Karnataka,T30
56+,9532,Female,West Bengal,B30
56+,24034,Male,Karnataka,B30
56+,11266,Female,Gujarat,B30
56+,6460,Female,Maharashtra,T30
56+,19199,Male,Maharashtra,B30
56+,12834,Female,Karnataka,T30
56+,11272,Male,West Bengal,T30
